mx,my,mz
30.900954,10.554714,37.975605
-20.335660,-44.314268,21.622963
21.846768,-14.155009,51.731327
31.718991,12.094714,33.927371
43.375494,-33.796150,40.522784
-21.720093,-31.207838,-14.811134
16.020661,15.267400,-20.373479
32.383345,-59.675185,-4.167976
47.498823,-18.381651,-23.222962
-11.037635,5.831478,-18.885182
28.980700,-17.029529,-34.763142
47.382733,-11.351528,-22.737355
22.127505,-46.717648,43.881788
-22.723017,-25.538164,32.038525
41.257820,-56.062502,-1.801574
4.479073,-34.892653,49.015395
26.810709,-56.565136,33.972660
48.696652,-4.362210,-16.103856
1.442955,17.197806,-12.339849
31.324935,7.743670,-23.591498
14.583185,-62.863771,-6.359801
9.386754,-47.545382,44.570106
-27.934745,-33.122059,12.192709
42.697386,-46.724153,30.023951
15.521756,-61.082796,26.507373
28.773979,-62.472978,12.722581
-7.735203,-14.107131,46.432145
38.588449,-38.616890,40.777165
-28.695671,-23.495507,20.573218
32.865165,-58.566693,-6.051577
-4.309212,-43.232285,41.710881
28.603545,-46.571386,41.849786
27.488091,14.624050,34.413114
-13.922077,-40.216344,34.574375
58.409158,-22.413996,15.697669
53.196318,-37.369067,23.507914
7.453850,-28.847538,51.513446
37.083675,1.419053,41.518339
15.815457,19.867976,-10.987732
55.132253,-36.647865,19.974196
26.561692,-35.954590,48.187222
-8.055377,-47.706942,34.092852
45.695564,3.593874,31.812673
14.742132,-64.719501,12.264548
-10.329443,16.375167,2.648848
-23.579451,-34.742985,26.995598
-9.822490,-56.117334,17.744375
29.742337,-51.029708,-20.795197
19.623368,-51.425363,-23.592032
-24.359508,-31.623980,24.919526
54.621946,1.920345,4.260520
14.647020,-65.319550,7.865534
0.962864,-4.301998,-31.738836
29.341475,22.929357,5.379328
34.353553,15.403728,-13.034329
56.713323,-17.121667,25.411242
-23.021317,-19.353806,32.254790
38.436953,-4.015484,43.659038
-13.660661,13.093659,14.910003
53.881902,-35.065686,-6.750357
3.918314,-62.746502,-2.725042
-25.393112,-11.860148,25.773938
53.925096,-0.625795,-3.911104
-8.921547,-6.749196,-27.772635
51.930613,3.774037,-1.659779
-20.386634,8.662750,5.923168
41.306089,-53.726624,-4.976374
16.107988,-15.143502,-36.807462
37.751028,-59.399019,2.287050
20.510846,6.191237,44.997304
-5.970233,-49.808129,33.341623
22.624895,-39.473551,47.400481
19.075330,24.628476,10.323889
48.123239,9.431244,3.342364
39.432875,-2.812632,41.789874
-13.607271,-0.703008,38.542057
-10.927652,-38.717360,-22.949713
7.579208,-0.907981,49.407080
15.809490,14.437355,-20.841125
-28.332907,-21.381808,18.046800
14.093290,-64.818076,5.890656
-23.526710,-0.246888,19.103146
-13.090455,-34.787062,-23.666224
12.060678,11.912870,-24.736424
35.697749,-42.415772,-24.384847
9.846548,-57.948901,-12.606143
-8.311179,18.389959,8.832306
-27.273975,-6.670097,1.449665
5.100394,7.540957,42.014831
-13.864752,-50.657807,-6.618353
-20.143733,-41.836947,28.092620
57.030784,-26.558828,23.297017
19.729857,21.714767,23.512808
11.441730,-43.640853,-30.898455
21.070227,-40.485830,-31.161466
1.545351,-42.854482,43.733304
38.246387,-19.808059,47.036635
17.582240,-41.774366,47.308542
36.012358,-59.426115,0.326652
-6.033821,-53.460863,29.824510
50.245771,-46.265185,18.259129
-15.057981,-41.688410,-18.504399
-17.815935,-17.850382,-22.699286
47.597684,-26.585777,-21.894696
-16.547687,-39.335664,33.769976
35.305836,-60.887497,12.370600
32.086517,-59.308922,20.942761
-10.009466,1.467590,-23.101166
-18.320769,-49.229456,9.509641
25.382989,-56.032898,33.674975
-21.833646,-21.207361,-18.239061
-11.617538,-16.646112,-27.638252
0.584442,17.043469,-14.128308
39.693868,-54.055916,23.613354
36.916531,-57.857634,-3.512773
51.292223,-32.774193,31.177451
-28.084256,-13.399591,-3.558536
56.983855,-10.933288,19.559614
-9.447765,-48.695989,-16.807947
42.625934,-49.247252,28.623740
55.995843,-2.568422,1.497586
37.648813,-27.940541,-31.422996
-6.127561,-58.372249,1.119469
15.967927,24.783477,16.657166
10.941532,-4.572015,-34.111237
21.603878,1.200677,-31.579881
55.525622,-7.939476,-6.495655
26.322294,22.071744,11.186331
25.588380,-40.978627,-30.415526
46.047452,-51.517625,10.858870
-13.347329,8.887565,27.337230
54.846871,-39.369741,-1.894204
-24.199156,-38.327399,23.313109
38.261518,-48.558991,34.071102
41.501680,-12.683985,44.732208
-0.558622,-43.982811,-26.893999
56.506363,-2.249205,6.387664
19.674867,-39.212064,49.030418
22.546046,-13.508807,51.326176
36.455115,-9.512993,-28.157736
24.378250,15.860804,33.511579
51.891691,-31.560502,-15.498632
10.424429,-17.368456,53.007549
-18.087018,10.110050,5.226970
5.624524,-43.107174,-29.779099
39.230424,-17.071876,-30.510369
-12.978589,-26.981588,43.136977
7.526060,-63.657134,0.731120
11.218291,-65.563131,6.684570
9.723974,-5.071417,49.740742
47.479239,-27.543426,-22.970196
59.357349,-19.272925,8.055913
10.433241,16.832948,-18.097288
-18.099574,-50.900055,6.391018
-11.521229,-54.747163,12.798309
10.843113,1.499334,-31.120506
33.741124,1.622693,-27.195055
4.528449,-31.100947,-34.770244
0.246817,-43.360334,43.682100
40.268309,12.967165,26.613591
-23.160622,-37.735335,25.149243
-24.425896,3.122869,-0.247410
-3.500351,14.623944,30.064134
4.209520,12.320933,-20.911303
44.797666,9.444160,-7.648736
24.447921,-55.417706,33.844558
8.231378,-38.922506,47.689044
1.045646,-49.270507,-24.113274
27.328309,-44.807172,43.192344
-19.934342,8.338283,10.899760
8.924156,-55.495526,34.096453
13.239024,24.867941,12.413169
31.980020,-60.108444,1.430649
21.118713,-55.315255,-19.212912
57.542442,-10.523977,-1.892490
17.001384,4.053263,-30.751785
-12.173445,-13.377885,-26.396485
23.060801,-57.278667,30.197912
34.352303,-9.706697,47.003299
42.743704,-2.635370,-22.837542
-25.137681,-38.753730,8.042260
41.384643,-55.804727,16.778214
-5.546535,-36.189466,-28.561936
-6.864282,-51.162045,-15.769095
30.850683,-34.914126,47.797713
37.485652,-11.951616,-31.654863
49.552175,-48.100920,14.204587
56.646902,-22.075024,26.758854
-1.008743,-21.715521,49.975988
0.946527,19.856544,23.753533
-4.875933,1.735681,41.963079
29.674069,-58.971366,-9.455701
-2.140950,-24.648712,49.773206
19.849975,-63.268532,20.819968
34.687180,-1.733050,43.947123
54.704333,1.520832,4.393503
-27.539289,-7.943537,13.897498
22.253344,-54.303061,-21.118335
53.022346,-21.209062,33.136197
16.682072,-19.325804,53.482911
-18.699098,-14.007994,-21.615676
-17.848283,-42.528738,25.607000
1.564105,15.269301,-16.491817
9.321153,-32.088107,50.845789
20.110338,5.853976,-28.532152
28.306813,22.623280,11.691719
40.494424,-32.424799,42.839423
58.886014,-26.053224,-0.463095
44.938305,11.628396,-2.843666
2.184856,-28.402728,-34.263689
-11.491204,-49.676255,-14.289604
14.450072,-12.992706,52.734661
-16.652451,11.235651,0.880067
13.651383,3.376244,-30.295713
41.403057,-9.469679,42.888031
19.857162,22.843135,-2.893391
-9.348048,-47.813163,-16.957003
0.700758,6.629187,41.235498
-7.926479,-53.810278,27.116019
-14.645214,13.164344,18.052560
-9.917100,3.987529,37.277186
-20.692795,-41.616332,24.235982
21.174026,-6.720735,50.856919
9.956174,-42.677691,-30.629436
-1.721281,-20.210508,50.393827
-26.467224,-2.812546,6.483293
33.944125,19.523116,-0.882996
-1.268173,15.048603,30.920849
56.807189,-6.775864,-0.669835
33.159675,13.769218,31.684331
28.269778,8.132139,39.333871
55.452761,-1.718927,2.642846
19.006321,17.177910,-17.068580
45.369195,-52.697600,10.122630
59.341028,-12.515010,10.285740
-22.072231,0.402551,25.694372
58.754816,-25.897536,13.259747
21.453147,23.910309,5.828451
33.217073,19.669023,20.263054
-1.846445,-13.254203,49.507601
-21.380596,-15.326383,-17.233481
40.921507,-53.757764,-4.195477
25.501174,24.273743,5.997124
5.034480,14.212395,-18.739086
-28.146306,-11.270561,-2.016471
-21.349998,5.580831,16.443824
-1.198435,-54.067985,32.502316
29.279887,-21.931827,50.139912
-9.093865,-54.389195,-7.781284
8.673622,11.333235,-23.862777
22.738252,-49.021235,41.082007
12.185580,23.659215,20.874133
39.115462,10.182853,31.756596
34.456681,20.529276,14.178655
34.226482,-22.077162,48.753132
-1.200070,22.136606,7.402512
-25.604224,-15.837383,-10.095934
47.388186,-46.139815,-9.247165
-12.010936,-26.667502,-26.385468
-22.701422,-1.874820,26.069311
33.964047,-60.151164,5.586426
14.639804,-47.035501,43.452616
58.595386,-30.972546,8.376794
19.529339,-64.791120,2.372667
-8.949415,-56.862519,-1.762386
55.468155,-5.663989,-4.507079
29.708446,15.816271,31.961420
17.647899,-50.830679,40.401849
29.772770,16.022042,33.135030
41.047851,-34.289223,41.784015
19.323511,22.807701,-6.252644
56.830668,-15.059950,-7.677492
-16.402675,-40.169814,34.128638
45.383897,-51.751063,6.772487
49.440444,8.360354,15.287878
17.940603,-11.072306,53.109629
-8.881851,-25.630548,-30.501582
35.217865,11.866333,-16.342533
43.473423,-41.801097,-18.168586
19.438451,3.639164,45.617185
-3.235549,21.277907,6.368280
9.226513,15.981361,33.713033
-12.958145,6.433412,33.273645
-17.423466,-0.926855,33.915247
28.134076,-47.750075,-25.070582
12.792666,20.820825,27.084982
9.855077,-8.831849,-35.053014
38.967085,-56.869283,-0.155388
-9.566088,-48.667888,33.583107
-20.611778,6.584241,4.403424
29.933926,-17.628263,-34.137592
39.746734,-32.171191,-27.885189
4.658241,18.140652,30.407546
-11.448621,-46.486356,-16.597311
58.979303,-11.476030,16.667471
56.919709,-10.232864,-3.105657
-26.653576,-34.559160,-0.118939
46.648975,-17.710022,40.312688
12.061681,-18.535275,-36.822970
45.085528,-9.096684,39.175580
-21.162969,5.981424,5.647301
45.121515,-48.650883,24.526051
-6.966473,-31.905682,46.546273
5.967087,-9.897259,50.602094
50.198177,-9.018426,34.252309
59.463421,-21.033756,11.979707
40.191552,6.093534,36.033572
28.771810,-43.864360,43.316492
-22.140626,-9.606844,-15.805660
8.560661,11.631743,39.301889
26.215819,22.109783,19.962904
8.763649,8.517151,42.618156
-20.522996,-3.000399,28.757457
6.444821,23.626029,2.805771
41.031341,-56.871060,10.877523
-5.637676,-47.568786,37.755353
0.311195,-38.175613,-29.733503
2.206000,-46.505924,41.205650
33.160174,-32.630243,47.999063
31.419121,-25.127452,-34.169313
47.339472,-39.588363,-16.022429
30.643754,16.088307,29.287806
35.829957,2.895454,40.769352
56.502939,-4.202608,13.876420
11.240015,-62.549818,-8.633421
-23.636105,-23.036831,-14.615718
-12.945812,-15.126503,42.932022
34.788808,-53.758497,-13.335486
45.864501,-51.833391,-0.099729
37.505599,-58.647813,11.730648
-25.200492,-38.086688,17.540038
-28.202492,-7.292345,8.006242
31.044271,-12.920604,49.898998
27.345617,-61.125487,20.874302
60.207399,-15.855770,11.861904
-3.479122,-37.506561,-29.242419
50.684307,-45.223251,-5.056698
-12.033601,13.287613,-3.017718
52.804563,-40.659683,17.130469
0.191973,17.327818,-11.654165
31.794013,14.342076,31.508793
-20.200813,-45.348931,17.061031
12.932711,-2.418239,48.930067
-1.317744,-60.763707,5.599973
51.292971,-30.450115,31.074151
55.508584,-33.250676,22.572176
58.933461,-29.921863,2.792513
-4.544774,-53.855229,-15.105121
-23.227404,-18.818938,-16.530833
21.736583,-63.650114,18.138727
32.889638,-61.142238,15.599824
37.966049,-42.891059,39.436758
37.559095,-59.159567,5.258405
47.542788,-16.014937,39.546019
-9.750429,-15.378588,-29.109754
10.707648,-54.518965,-20.532088
46.545606,7.834480,23.220575
-14.649608,-29.337259,40.584442
17.563566,24.158192,15.389432
37.263226,-55.644202,23.939414
8.957388,5.952989,43.356009
0.021156,-45.133089,-26.809036
23.599639,-40.314231,-31.101453
22.227869,24.184290,7.685226
59.018490,-15.674682,2.329701
56.635506,-33.952287,19.850075
26.838829,-44.181873,45.390481
6.827481,-56.559012,33.549425
-30.863690,-18.629606,7.126993
56.680896,-2.254086,6.991534
36.244937,17.526170,22.547621
16.191970,-54.527214,-20.123017
-4.247293,-58.606755,-4.867076
19.604595,24.780661,2.071769
25.052721,-18.600837,-34.820496
-11.854380,-24.245911,-26.910765
28.007915,12.806050,34.335772
9.434224,24.193216,12.299281
-5.044006,-55.249634,-9.038129
-22.423259,-3.163035,24.087303
14.349754,-3.758613,49.661202
28.878569,-42.082246,-29.330718
39.744437,-57.116662,1.677065
-9.038301,-56.180279,18.444293
27.484080,-28.787821,-34.489156
-0.490177,-9.262115,-32.376654
28.672326,-21.399090,51.130482
17.927466,-47.966049,43.012757
7.313252,-21.716722,-36.789399
-4.588322,-59.018056,-0.065344
43.514965,-43.714010,-18.956212
55.607884,-26.234895,-10.943353
36.064412,-32.315761,45.480459
27.068069,-30.551326,49.661071
-11.931105,11.901425,21.170261
43.547900,15.254597,8.515827
-15.273317,-1.330178,-20.469028
59.562909,-16.896371,0.238056
21.935978,-57.315929,-17.300160
46.208842,-37.013185,-19.366112
31.029627,15.600308,29.923808
37.909522,-37.607694,-25.993196
57.854839,-29.557188,1.374266
54.303647,-3.248834,21.216933
55.278348,-31.516810,26.023710
16.564309,-11.882571,52.340048
33.185758,-1.769664,45.410941
3.078420,-47.221943,-25.805264
-13.871496,10.264516,-8.161520
-5.434340,-46.060147,37.922072
42.554192,8.860947,-11.380504
-2.821782,11.611168,-19.474112
54.317432,-8.774899,25.832154
37.434103,18.598907,14.310537
-23.864417,-7.889185,-12.046348
-1.155651,-3.527777,45.850919
14.738027,-11.364399,52.662524
19.285969,24.555012,17.044847
-24.702837,-2.173257,16.665461
55.281308,0.175157,3.324467
-21.903488,-26.513034,-17.953753
1.591748,-5.915105,48.504883
28.013329,-61.205726,23.115969
53.940097,-40.364750,2.847651
16.642849,-54.236457,36.706569
10.129094,-1.335754,-32.106357
-6.224458,15.345247,-9.537966
58.859685,-29.920442,12.831222
31.678615,-46.157713,-24.350246
-18.960714,8.842973,-3.321615
59.136210,-29.632454,11.056211
35.786132,7.698072,36.552192
46.532937,7.416707,23.689116
